Location,Disaster Type,Disaster Subtype,Start Year,Total Deaths,Total Damage ('000 US$)
"Nawabganj town (Gonda district, Uttar Pradesh province), Allahabad, Unnao districts (Uttar Pradesh province)",Storm,Severe weather,2010,12.0,
Andhra Pradesh province,Storm,Tropical cyclone,2010,22.0,
"Mushalpur, Baksa towns (Nalbari district, Assam province)",Storm,Hail,2010,28.0,
"Delhi province, Allahabad, Pratapgarh, Jaunpur, Bara Banki districts (Uttar Pradesh province), Sundernagar city (Mandi district, Himachal Pradesh province), Bhuntar city (Kullu district, Himachal Pradesh province), Shimla, Solan districts (Himachal Pradesh province), Leh city ('40422' Jammu and Kashmir province), Qazigund city ('40425' Jammu and Kashmir province), Bihar province",Extreme temperature,Cold wave,2011,80.0,
Uttar Pradesh province,Storm,Lightning/Thunderstorms,2011,42.0,
West Bengal province,Flood,Riverine flood,2011,47.0,275000.0
"Sikkim, West Bengal, Bihar, Assam, Meghalaya provinces",Earthquake,Ground movement,2011,112.0,
"Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jajpur, Jagatsinghpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur districts (Orissa province)",Flood,Riverine flood,2011,239.0,930000.0
"Dhemaji district (Assam province), East Garo Hills, South Garo Hills, West Garo Hills districts (Meghalaya province)",Flood,Riverine flood,2011,7.0,
"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Golaghat, Jorhat, Karbi Anglong, Sibsagar, Lakhimpur, Nagaon, Sonitpur districts, (Assam province), Begusarai, Bhagalpur, Bhojpur, Buxar, Gopalganj, Katihar, Khagaria, Kishanganj, Lakhisarai, Madhubani, Madhepura, Muzaffarpur, Patna, Purnia, Samastipur, Saran, Saharsa, Sitamarhi, Supaul, Vaishali, Pashchim Champaran districts (Bihar province), Azamgarh, Aligarh, Ambedkar Nagar, Badaun, Ballia, Bara Banki, Bahraich, Bareilly, Bijnor, Faizabad, Farrukhabad, Ghazipur, Gonda, Gorakhpur, Hardoi, Jyotiba Phule Nagar, Kannauj, Kanpur, Kushinagar, Lakhimpur Kheri, Meerut, Muzaffarnagar, Moradabad, Pilibhit, Rampur, Shahjahanpur, Sitapur, Unnao districts (Uttar Pradesh province)",Flood,Riverine flood,2011,204.0,
"Gonda, Balrampur, Faizabad, Bara Banki districts (Uttar Pradesh province), Rajasthan province",Flood,Riverine flood,2011,19.0,
Orissa province,Flood,Riverine flood,2011,42.0,432000.0
"Cuddalore district (Tamil Nadu province), Puducherry district (Puducherry province)",Storm,Tropical cyclone,2011,47.0,375625.0
Karnataka province,Storm,Lightning/Thunderstorms,2011,17.0,
"Uttar Pradesh, Punjab, Haryana provinces",Extreme temperature,Cold wave,2011,132.0,
"Uttar Pradesh, Uttarakhand province",Flood,Riverine flood,2011,50.0,20000.0
"Karimnagar, Vishakhapatnam, Guntur districts (Andhra Pradesh province)",Extreme temperature,Cold wave,2012,15.0,
Adminitrative unit not available districts (Jammu and Kashmir province),Mass movement (dry),Avalanche (dry),2012,16.0,
"Anjaw (70044), Lohit, Changlang, 70045, 70050, Lower Dibang Valley, East Siang, Upper Siang (70051) districts (Arunachal Pradesh province), Assam province",Flood,Riverine flood,2012,120.0,
"Jaipur, Dhaulpur, Dausa, Tonk, Jhunjhunun, Sikar, Hanumangarh, Bikaner districts (Rajasthan province), Anjaw (70044), 70045, 70050, Lower Dibang Valley, Upper Siang (70051) districts (Arunachal Pradesh province)",Flood,Riverine flood,2012,37.0,
"Palchan village (Kullu district, Himachal Pradesh province), Uttarkashi, Rudra Prayag, Chamoli districts (Uttarakhand province), Moradabad district (Uttar Pradesh province), Kathua village (72780 district, Jammu and Kashmir province)",Flood,Riverine flood,2012,30.0,110000.0
"Rudra Prayag, Bageshwar districts (Uttarakhand province)",Flood,Riverine flood,2012,45.0,20000.0
"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Lakhimpur, Marigaon, Nagaon, Nalbari, Papum Pare, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Bhagalpur, Darbhanga, Katihar, Khagaria, Muzaffarpur, Patna, Siwan, Supaul districts (Bihar province), Sahibganj district (Jharkhand province), North Sikkim district (Sikkim province), Ballia, Bara Banki, Faizabad districts (Uttar Pradesh province), Murshidabad district (West Bengal province), West Siang, East Siang, Lohit, Papum Pare districts (Arunachal Pradesh province)",Flood,Riverine flood,2012,21.0,98000.0
"Andhra Pradesh, Tamil Nadu provinces",Storm,Tropical cyclone,2012,40.0,
"Bihar, Haryana, Himachal Pradesh, Jammu and Kashmir, Punjab, Rajasthan, Uttar Pradesh provinces",Extreme temperature,Cold wave,2012,249.0,
Himachel Pradesh province,Flood,Riverine flood,2012,26.0,16000.0
Uttar Pradesh province,Storm,Tornado,2013,9.0,
Andhra Pradesh province,Storm,Tropical cyclone,2013,8.0,
Administrive unit not available district (Jammu and Kashmir province),Earthquake,Ground movement,2013,3.0,120000.0
"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",Flood,Riverine flood,2013,6054.0,1100000.0
"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",Extreme temperature,Heat wave,2013,557.0,
"Sultanpur, Sitapur, Rae Bareli, Bara Banki, Faizabad, Gorakhpur, Basti, Kushinagar, Bahraich, Gonda, Shravasti districts (Uttar Pradesh province)",Flood,Riverine flood,2013,174.0,2000.0
"Dhemaji, Tinsukia, Nagaon, Golaghat, Jorhat, Kamrup, Karimganj, Lakhimpur, Morigaon, Sibsaga, Bongaigaon, Kokrajhar districts (Assam province)",Flood,Flood (General),2013,80.0,
"Bhopal, Hoshangabad, Seoni, Narsinghpur, Jabalpur districts (Madhya Pradesh province), Uttar Pradesh, Assam provinces",Flood,Riverine flood,2013,73.0,
"Orissa, Andhra Pradesh, West Bengal provinces",Flood,Riverine flood,2013,72.0,260000.0
"Orissa, Andhra Pradesh, Jharkhand, Bihar, West Bengal, Chhattisgarh provinces",Storm,Tropical cyclone,2013,47.0,633471.0
"Bihar, Jharkhand provinces",Storm,Lightning/Thunderstorms,2013,32.0,
"Krishna, Guntur, East Godavari, West Godavari, Vishakhapatnam districts (Andhra Pradesh province)",Storm,Tropical cyclone,2013,10.0,262000.0
"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",Extreme temperature,Cold wave,2014,24.0,
"Doda, Bhaderwah, Thathri, Gandoh, Bhallessa villages (Kishtwar (72809) district, Jammu and Kashmir (40427) province), Kora Pani, Tangdhar villages (Kupwara (72786) district, Jumma and Kashmir (40431) province)",Storm,Blizzard/Winter storm,2014,17.0,
"Ghaziabad district (Utar Pradesh province), Delhi, West Bengal provinces",Storm,Lightning/Thunderstorms,2014,15.0,
Assam province,Flood,Riverine flood,2014,27.0,2000.0
"Uttarakhand, Himachal Pradesh provinces",Flood,Riverine flood,2014,26.0,
"Malin village (Pune district, Maharashtra province)",Mass movement (wet),Landslide (wet),2014,151.0,
Orissa province,Flood,Riverine flood,2014,35.0,200000.0
Jammu and Kashmir provinces,Flood,Riverine flood,2014,298.0,16000000.0
"Tura village (West Garo Hills district, Meghalaya province), Goalpara, Kamrup districts (Assam province)",Flood,Riverine flood,2014,95.0,163000.0
"Vishakhapatnam, Gangavaram towns (Vishakhapatnam district, Andhra Pradesh province), Baragarh, Bolangir, Boudh, Gajapati, Ganjam, Kalahandi, Kandhamal, Khordha, Koraput, Malkangiri, Nabarangpur, Nayagarh, Nuapada, Puri, Rayagada, Sonepur districts (Orissa province), Chhattisgarh province",Storm,Tropical cyclone,2014,53.0,7000000.0
"Shravasti, Balrampur, Sitapur, Lakhimpur Kheri, Gonda, Bara Banki, Faizabad, Azamgarh districts (Uttar Pradesh province), Uttarakhand, Bihar, Assam provinces",Flood,Riverine flood,2014,94.0,
Odisha province,Flood,Riverine flood,2014,47.0,100000.0
Muzaffarnagar district (Uttar Pradesh province),Extreme temperature,Cold wave,2014,16.0,
"Himachal Pradesh, Uttarakhand, Uttar Pradesh provinces",Extreme temperature,Severe winter conditions,2014,140.0,
Uttar Pradesh province,Storm,Storm (General),2014,27.0,
Hyderabad district (Andhra Pradesh province),Storm,Lightning/Thunderstorms,2014,7.0,
"Chadoora village (72811 district, Jammu and Kashmir province)",Flood,Flash flood,2015,44.0,76000.0
Tripura province,Storm,Lightning/Thunderstorms,2015,1.0,3000.0
"Gujarat, Punjab, Himachal Pradresh, Haryana, Maharashtra, Bihar, Uttar Pradesh, Madhya Pradesh, Rajasthan, Jammu and Kashmir, Uttarakhand, West Bengal provinces",Storm,Lightning/Thunderstorms,2015,27.0,906000.0
"Bihar, Uttar Pradesh, West Bengal, Sikkim provinces",Earthquake,Ground movement,2015,78.0,
"Purnia, Madhepura, Madhubani, Supaul, Sitamarhi districts (Bihar province)",Storm,Severe weather,2015,100.0,160000.0
Bihar province,Earthquake,Ground movement,2015,20.0,
"Delhi, Andhra Pradesh, Orissa provinces",Extreme temperature,Heat wave,2015,2248.0,
"Bhadrairuppu village (Virudhunagar district, Tamil Nadu province)",Flood,Flash flood,2015,8.0,
"Barpeta, Sonitpur, Goalpara, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Jorhat, Kamrup, Dibrugarh, Nagaon, Bongaigaon districts (Assam province) ",Mass movement (wet),Landslide (wet),2015,3.0,
"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",Flood,Riverine flood,2015,81.0,604000.0
"Mirik, Kalimpong, Darjeeling villages (Darjiling district, West Bengal province),",Flood,Riverine flood,2015,40.0,
"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces",Flood,Riverine flood,2015,293.0,
"Rajasthan, Uttar Pradesh, Jammu and Kashmir, Arunachal Pradesh, Uttarakhand, Punjab, Haryana, Himachal Pradesh provinces",Flood,Riverine flood,2015,25.0,
Assam province,Flood,Flood (General),2015,5.0,
"Dhemaji, Kokrajhar, Bongaigaon, Sonitpur, Barpeta, Goalpara, Marigaon, Cachar, Lakhimpur, Jorhat, Tinsukia, Darrang, Nalbari, Kamrup, Dibrugarh, Sibsagar districts (Assam province) ",Flood,Flood (General),2015,18.0,
"Sonitpur, Lakhimpur, Kokrajhar, Dhemaji districts (Assam province), Arunachal Pradesh province ",Flood,Flood (General),2015,,
"Deogarh, Nabarangpur, Malkangiri districts (Orissa province), Andhra Pradesh province",Storm,Lightning/Thunderstorms,2015,32.0,
"Administrative unit not available districts (Jammu and Kashmir province), Delhi, Punjab provinces",Earthquake,Ground movement,2015,,
"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",Flood,Flood (General),2015,325.0,2200000.0
Andhra Pradesh province,Storm,Lightning/Thunderstorms,2015,23.0,
Maharashtra province,Storm,Lightning/Thunderstorms,2015,29.0,
"Tamil Nadu, Rajasthan, Jharkhand, Assam, Andhra Pradesh, Himachal Pradesh, Nagaland; Maharashtra, Bihar, Madhya Pradesh, Chhattisgarh, Telangana, Jharkand, Odisha states",Drought,Drought,2015,,3000000.0
"Guwahati city (Kamrup district, Assam province), East Imphal, West Imphal, Senapati, Thoubal, Bishnupur, Tamenglong districts (Manipur province)",Earthquake,Ground movement,2016,8.0,75000.0
Jammu and Kashmir (Administrative unit not available) (Siachen glacier),Mass movement (wet),Avalanche (wet),2016,10.0,
"Andhra Pradesh, Rajasthan, Orissa, Bihar, Jharkhand, Tamil Nadu, Uttar Pradesh provinces",Extreme temperature,Heat wave,2016,300.0,
"Arunachal Pradesh, Assam, Nagaland provinces",Flood,Flood (General),2016,18.0,150000.0
"Uttarakhand province (including Almora, Pauri Garhwal, Chamoli districts)",Wildfire,Forest fire,2016,7.0,
Uttarakhand province,Mass movement (wet),Landslide (wet),2016,10.0,
"Muzaffarpur, Patna, Siwan districts (Bihar province)",Storm,Lightning/Thunderstorms,2016,11.0,
"Bihar, Uttar Pradesh, Jharkhand, Madhya Pradesh provinces",Storm,Lightning/Thunderstorms,2016,93.0,
"Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces",Flood,Flash flood,2016,61.0,100000.0
"Lakhimpur, Golaghat, Jorhat, Barpeta, Bongaigaon, Goalpara, Dhubri, Marigaon, Darrang, Nalbari districts (Assam province)",Flood,Flash flood,2016,50.0,150000.0
"Biha, Uttar Pradeshr province (Varanasi, Allahabad, Ghazipur, Ballia, Banda, Jalaun, Ghaziabad, Patna, Bhagalpur, Vaishali, Buxar, Bhojpur, Sonepur, Saran, Begusarai, Samastipur, Lakhisarai, Khagaria, Munger, Nalanda, Katihar, Purnea, Katihar, Supual, Kisanganj, Madhepura, Gopalganj, Saharsa, Araria, East Champaran, Muzafferpur, Kishanganj, Purnea, Araria, Supaul, Bhagalpur, Darbhanga)",Flood,Flood (General),2016,254.0,350000.0
"Bhopal, Hoshangabad, Rewa, Sagar, Shajapur, Jabalpur, Satna, Harda, Panna, Vidisha, Raisen, Mandla, Tikamgarh, Seoni, Damoh, Sehore, Agar-Malwa districts (Madhya Pradesh province)",Flood,Flood (General),2016,184.0,160000.0
"Maharashtra (Nashik, Raigad (Mahad), Thane (Bhiwandi), Ratnagiri, Pune, Satara, Kolhapur), Gujarat (Valsad, Chhota Udepur (Vadodara), Navsari and Surat)",Flood,Flood (General),2016,37.0,
"Andhra Pradesh province, Telangana",Flood,Flood (General),2016,28.0,589000.0
Chennai district (Tamil Nadu province); Andhra Pradesh,Storm,Tropical cyclone,2016,24.0,1000000.0
"Jorhat, Golaghat (Assam State)",Flood,Flood (General),2016,34.0,
"Sonamanrg (Ganderbal district), Gurez Valleys (Jammu and Kashmir state)",Mass movement (wet),Avalanche (wet),2017,28.0,
"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",Extreme temperature,Heat wave,2017,264.0,
"Manipur, Mizoram",Storm,Tropical cyclone,2017,,
"Lakhimpur, Karimganj, Darrang districts (Assam), Nagaland, Manipur, Jharkhand",Flood,Flood (General),2017,6.0,
Gujarat,Flood,Flood (General),2017,31.0,
"Vaishali, Saran, Patna, Gaya, Sasaram (Rohta), Araria, Nalanda districts (Bihar)",Storm,Lightning/Thunderstorms,2017,23.0,
"Laptap Village, Papumpare district (Arunachal Pradesh)",Mass movement (wet),Landslide (wet),2017,22.0,
"Lakhimpur, Bangaigaon, Jorhat, Golaghat, Cachar, Dhemjai, Biswanath, Karimganj, Barpeta, Karbi Anglong, Sonitpur, Darrang, Hojai (Sub Division), Bhuragaon (Sub Division), Majuli, Nagaon, Nalbari, Sivasagar, Morigaon, Chirang, Dibrugarh, Dhubri, Kokrajhar, South Salmara, Charaideo, Goalpara districts (Assam)",Flood,Riverine flood,2017,75.0,
"Imphal West, Imphal East, Thoubal, Bishnupur (Manipur)",Flood,Flood (General),2017,,
"Banaskantha, Valsad, Navsari, Surat, Sabarkantha, Patan (Gujarat), Barmer, Jalore, Udaipur, Sirohi, Pali (Rajasthan), Kolkata (West Bengal)",Flood,Flood (General),2017,284.0,250000.0
"Araria, Jogbani (Bihar); Uttar Pradesh, West Bengal",Flood,Flood (General),2017,514.0,1567000.0
"Mumbai (Dadar, Khar, Bandra, Lalbaug, Kalina, Sion, Byculla, Matunga, Wadala, Parel, Khar-Danda, Pali Hill, Carter Road, Bandra, Ghatkopar, Bhandup, Mulund, and Santacruz), Thane (Maharashtra)",Flood,Flash flood,2017,14.0,300000.0
"Kotropi, Mandi district (Himachal Pradesh)",Mass movement (wet),Landslide (wet),2017,46.0,
Chenai (Tamil Nadu),Flood,Flash flood,2017,21.0,
"Kerala (Thiruvananthapuram, Kozhikode,Ernakulam),Tamil Nadu (Kanyakumari-Munchirai, Thiruvattar,Killiyur, Kurunthancode, Rajakkamangalam-, Tirunelveli, Tuticorin districts), Andhra Pradesh (Chittoor and Nellore), Lakshadweep Islands",Storm,Tropical cyclone,2017,884.0,
"Uttar Pradesh (Siddharthnagar, Balarampur, Bahraich, Shravasti, Maharajganj, Barabanki, Lakhimpur Kheri, Gorakhpur, Muzaffarnagar, Gonda, Basti, Mirzapur, Khiri, Deoria, Sitapur, Bijnore, Faizabad, Pilibhit, Farrukhabad, Mau, Kushinagar, Badaun, Ambedkar nagar, Azamgarh, Santkabir Nagar, Ghazipur, Balia)",Flood,Flood (General),2017,101.0,
"Jamui, Champaran, Vaishali, Samastipur, Bihar",Storm,Lightning/Thunderstorms,2017,29.0,
Maldah (West Bengal),Storm,Lightning/Thunderstorms,2017,4.0,
New Delhi,Extreme temperature,Cold wave,2018,44.0,
Tamil nadu,Wildfire,Forest fire,2018,17.0,
"Uttar Pradesh, Rajasthan",Storm,Lightning/Thunderstorms,2018,42.0,100000.0
Kolkata,Storm,Lightning/Thunderstorms,2018,18.0,100000.0
"Uttar Pradesh, Bengale occidental, Bihar, Andhra Pradesh",Storm,Lightning/Thunderstorms,2018,95.0,
"Rajasthan, Uttar Pradesh",Storm,Sand/Dust storm,2018,143.0,24000.0
"Uttar Pradesh, Kerala, Maharashtra, Mizoram, Rajasthan",Storm,Lightning/Thunderstorms,2018,42.0,
"Uttar Pradesh, West Bengal, Assam, Tripura, Manipur, Mizoram",Storm,Storm (General),2018,61.0,50000.0
"Assam, Maharashtra, Gujarat",Flood,Flood (General),2018,52.0,
"Uttar Pradesh, West Bengal, Tripura",Storm,Lightning/Thunderstorms,2018,32.0,50000.0
Tripura state,Flood,Flash flood,2018,15.0,10000.0
"Uttar Pradesh, Bihar, Jharkhand",Storm,Lightning/Thunderstorms,2018,54.0,25000.0
Dakshina Kannada and Udupi districts,Flood,Flood (General),2018,12.0,2500.0
"Uttar Pradesh, Rajasthan",Flood,Flood (General),2018,33.0,
Odisha state,Flood,Flood (General),2018,20.0,
"Thrissur, Chengannur (Kerala state); West Bengal, Odisha, Assam, Nagaland, Uttar Pradesh, Himachal Pradesh, Maharashtra states",Flood,Flash flood,2018,504.0,2852480.0
"Biswanath, Udalguri, Golaghat, Sivassagar/Charaideo, Barpeta, Lakhimpu, Dhemaji, Darrang (Assam, West Bengal)",Flood,Flood (General),2018,3.0,
Uttar Pradesh,Flood,Flood (General),2018,46.0,
"Punjab, Haryana states",Flood,Flood (General),2018,25.0,
"Mandasa, Godalpur, Gajapati, Ganjam, Rayagada, Puri, Kandhamal (Andhra Pradesh & Odisha)",Storm,Tropical cyclone,2018,85.0,920000.0
"Tamil Nadu, Nagapattinam, Tiruvarur, Thanjavur, Pudukottai, Dindigul and Ramnad, Chennai, Sivaganga, Theni, Madurai districts",Storm,Tropical cyclone,2018,45.0,775000.0
"Andhra Pradesh, Odisha",Storm,Tropical cyclone,2018,8.0,100000.0
"Karnataka, Maharashtra states",Drought,Drought,2018,,1100000.0
"Gujarat, Rajasthan, Madhya Pradesh, Maharashtra",Storm,Storm (General),2019,50.0,
Odisha province,Storm,Tropical cyclone,2019,50.0,1810000.0
"Patna, Gaya, Bhagalpur cities; Aurangabad, Nawada districts (Bihar)",Extreme temperature,Heat wave,2019,90.0,
"Muzaffarpur, Vaishali, Sheohar, East Champaran districts (Bihar)",Epidemic,Viral disease,2019,121.0,
"Karnataka, Maharashtra, Madhya Pradesh, Rajasthan, Uttar Pradesh states",Extreme temperature,Heat wave,2019,22.0,
"Mumbai, Pune, Ratnagiri Districts (Maharashtra State)",Flood,Flood (General),2019,52.0,
"Odisha, Hyderabad",Storm,Lightning/Thunderstorms,2019,10.0,
"Uttar Pradesh, Maharashtra, and Bihar",Storm,Lightning/Thunderstorms,2019,50.0,
"Sitamarhi, Sheohar, East Champaran, Muzaffarpur, Madhubani, Darbhanga, Supaul, Araria, Sahersa , Katihar, Purnia, Kishanganj districts (Bihar); Dhemaji, Lakhimpur, Biswanath, Barpeta, Chirang, Golaghat Jorhat, Sonitpur, Darrang, Nalbari, Bongaigaon, Morigaon, Nagaon, Majuli, Baksa, Kokrajhar, Dhubri, South Salmara, Goalpara, Kamrup, Hojai, Sivsagar, Tinsukia, Cachar, KarbiAnglrng, West Karbi-Anglong, Hailakandi, Dibrugarh districts (Assam); Maharashtra, Kerala, Rajasthan, West Bengal, Karnataka, Uttarakand, Himachal Pradesh, Punjab, Uttar Pradesh, Odisha",Flood,Flood (General),2019,1900.0,10000000.0
"West Bengal, Kerala, Odisha, Maharashtra",Flood,Flood (General),2019,32.0,
Rajendranagar area (Bihar),Epidemic,Viral disease,2019,,
"Belagavi, Gadag, Koppal districts (Karnataka); Kerala, Tamil Nadu states",Flood,Flood (General),2019,12.0,
"South Assam, Meghalaya, Tripura, Mizoram, West Begal, Odisha state",Storm,Tropical cyclone,2019,12.0,
"Coimbatore, Cuddalore, Nagapattinam, Thoothukkudi Districts (Tamil Nadu); Pudducherry",Flood,Flood (General),2019,27.0,
Jammu & Kashmir state,Storm,Blizzard/Winter storm,2020,11.0,
Uttar Pradesh State,Flood,Flood (General),2020,29.0,10000.0
"Lakhimpur, Sontipur, Darrang, Goalpara (Assam state); Sikkim state",Flood,Flood (General),2020,1.0,
"Balasore (Baleshwar) , Bhadrak, Kendrapada and Jagatsinghpur (Odisha); East Midunapur, West Midhunapur, North24 Parganas, South24 Parganas, Nadia, Howrah, Kolkata and Hoogli (West Bengal)",Storm,Tropical cyclone,2020,90.0,13500000.0
"Raigad, Pune Districts (Maharashtra State)",Storm,Tropical cyclone,2020,6.0,820000.0
"Barak Valley Region (southern Assam State, north-east India); Hailakandi ; Cachar; Karimganj Districts",Mass movement (wet),Landslide (wet),2020,21.0,
Jammu region,Flood,Flood (General),2020,,
"Assam, Bihar, Gujarat, Chhattisgarh, Kerala, Karnataka, Madhya Pradesh, Odisha, Uttar Pradesh, West Bengal, Arunachal Pradesh, Maharashtraa.",Flood,Flood (General),2020,1922.0,7500000.0
Idukki district (Kerala state),Mass movement (wet),Landslide (wet),2020,70.0,
"Hyderabad, Telangana, Andhra Pradesh, Karnataka, South Odisha states ",Flood,Flood (General),2020,152.0,4000000.0
Tamil Nadu and Puducherry,Storm,Tropical cyclone,2020,14.0,600000.0
Uttarakhand state,Glacial lake outburst flood,Glacial lake outburst flood,2021,234.0,210000.0
"Kamrup and Nagaon (Sonitpur District, northern Assam State)",Earthquake,Ground movement,2021,2.0,
Chamoli District (Uttarakhand State),Glacial lake outburst flood,Glacial lake outburst flood,2021,16.0,
"Kerala, Karnataka, Goa, Maharashtra, Gujarat, Rajasthan, Delhi, Haryana, Uttar Pradesh and Uttarakhand",Storm,Tropical cyclone,2021,198.0,1400000.0
"Bengale occidental, Odisha",Storm,Tropical cyclone,2021,19.0,3000000.0
"Bihar, Uttar Pradesh, Gujarat, Kerala, Karnataka, Uttarakhand, Maharashtra, Chhattisgarh, West Bengal, and Tripura states",Flood,Flood (General),2021,59.0,100000.0
"Bongaigaon, Dhemaji and Dibrugarh districts (Assam state)",Flood,Flood (General),2021,,
Bombay,Mass movement (wet),Landslide (wet),2021,33.0,
"Pune, Raigada, Satara and Ratnagiri (Maharasthra); Goa, Karnataka, Jharkhand, Bengale, Himachal Pradesh, Uttarakand states",Flood,Flood (General),2021,1282.0,3100000.0
"Himachal Pradesh, Union Territories of Jammu and Kashmir and Ladakh",Flood,Flash flood,2021,37.0,
"Nigul Sari Village (Kinnaur District, Himachal Pradesh State)",Mass movement (wet),Landslide (wet),2021,35.0,
"Rajkot, Jamnagar, Porbandar, Valsad, Junagadh districts (Gujarat state)",Flood,Flood (General),2021,7.0,
"Srikakulam, Vizianagaram, Visakhapatnam, Kalingapatnam , Nizamabad, Hyderabad districts (Andhra Pradesh); Koraput, Malkangiri districts (Odisha); Aurangabad, Latur, Osmanabad, Parbhani, Nanded, Beed, Jalna, Hingoli districts (Maharashtra)",Storm,Tropical cyclone,2021,20.0,
"Koraput and Malkangiri (Odisha); Srikakulam, Vizianagaram, Visakhapatnam districts (Andhra Pradesh); Telengana, Maharashtra, Gujarta",Storm,Tropical cyclone,2021,7.0,
"Idukki, Kottayam, Pathanamthitta, Kollam, Achankovil, Thiruvananthapuram(Kerala state)",Flood,Flood (General),2021,39.0,
Nainital (Uttarakhand state),Flood,Flood (General),2021,57.0,
Tamil Nadu,Flood,Flood (General),2021,14.0,
"Chittoor, Kadapa, Anantapur, Nellore districts (Andhra Pradesh)",Flood,Flood (General),2021,62.0,
"Andhra Pradesh, Odisha, south-western West Bengal, Tripura",Storm,Tropical cyclone,2021,5.0,
Assam State,Storm,Severe weather,2022,20.0,
"Maharashtra State, West Rajasthan",Extreme temperature,Heat wave,2022,25.0,
"Itanagar distrci (Arunchal Pradesh); Dima Hasao, Cachar, Udalguri District (Assam); East Khasi Hills, Ri-Bhoi Districts (Meghalaya); Nagaland; Bihar; Himachal Pradesh; Madhya Pradesh; Gujarat; Maharasthra ",Flood,Flood (General),2022,2035.0,4200000.0
"Tapul village (Noney District, Manipur State); Mumbai",Mass movement (wet),Landslide (wet),2022,67.0,
"Himachal Pradesh, Uttarakhand and Jharkhand States",Flood,Flood (General),2022,63.0,
Uttar Pradesh,Flood,Flood (General),2022,,
Tamil Nadu,Storm,Tropical cyclone,2022,,
"Khandwa, Sagar, Satna, Raisen, Narmadapura, Dhar, Ratlam, Ashok Nagar and Damoh (Madhya Pradesh State)",Storm,Severe weather,2023,16.0,
Maharashtra state,Extreme temperature,Heat wave,2023,11.0,
"Mizoram, Tripura, and Manipur states",Storm,Tropical cyclone,2023,,
"Uttar Pradesh, Bihar, Tripura, Odisha ",Extreme temperature,Heat wave,2023,179.0,
"Nalbari, Baksa, Lakhimpur, Bajali, Barpet distrcits (Assam);Sikkim",Flood,Flood (General),2023,,
"Barmer, Jalore, Sirohi, Pali, and Rajmasand (Rajasthan); Gujarat ",Storm,Tropical cyclone,2023,7.0,
"Mandi, Solan and Hamirpur districts (Himachal Pradesh); Uttarakhand, Punjab, NewDelhi, Haryana",Flood,Flash flood,2023,62.0,3000.0
"Himachal Pradesh, Uttarakhand, Delhi, Bihar, Madyah Pradesh, Maharashtra, Chhattisgarh, Gujarat, Punjab, Karnataka, Assam",Flood,Flood (General),2023,1529.0,
"Irshalwadi Village (Raigad District, western Maharashtra State)",Mass movement (wet),Landslide (wet),2023,28.0,
Mulugu District (western Telangana),Flood,Flood (General),2023,23.0,
Himachal Pradesh and Uttarakhand states,Mass movement (wet),Landslide (wet),2023,10.0,
Mizoram State,Mass movement (wet),Landslide (wet),2023,26.0,
"Khurda, Balangir, Angul, Boudh, Dhenkanal, Gajapati, Jagatsinghpur, and Puri (Odisha State)",Storm,Lightning/Thunderstorms,2023,12.0,
"Sikkim state Gangtok, Mangan and Pakyong (Bengal state)",Glacial lake outburst flood,Glacial lake outburst flood,2023,178.0,
" Andra Pradesh, Telangana, Tamil Nadu States ",Storm,Tropical cyclone,2023,20.0,125000.0
Gujarat state,Storm,Severe weather,2023,24.0,
"Thoothukudi, Tirunelveli, Kanniyakumari and Tenkasi Districts (Tamil Nadu state)",Flood,Flood (General),2023,10.0,
"Unakoti, Sepahijala, Dhalai, South, West, Khowai and Gomati Districts (Tripura state); Una District (Himachal Pradesh State)",Storm,Severe weather,2024,4.0,
"New Delhi; Rajasthan, Bihar, Gujarat, West Rajasthan, Punjab, Haryana, Chandigarh",Extreme temperature,Heat wave,2024,11.0,
